Address_ID,Timestamp,Do.you.agree.to.participate.in.this.study.,X2..GPS.Coordinates.of.the.Shop,X3..Market.Name,X4...Group.,X5..Section,X6..Line,X7..Block.Number,X8..Shop.Number..Visible.Tag.,X9..Shop.Number..Count.,X10..Shop.Level,X11..Shop.Occupancy.Status,X12..Locked.Up.Status,X13..Shop.Type,X15..Position.in.Shop,X17..How.many.people.work.in.your.shop.each.day.,X18..Shop.Opening.Time,X19..Shop.Closing.Time,X20..Does.the.shop.owner.have.a.bank.account.,X21..Name.of.Bank.1,X22..Name.of.Bank.2,X23..Does.the.shop.owner.Have..a.smart.phone.,X24..Which.payment.platform.have.you.used.,X25..If.you.could.save.money.on.Electricity.would.you.be.willing.to.use.some.on.the.savings.to.fund.value.added.services.such.as.pensions..Healthcare.or.Educational.savings.plans,X26...What.would.be.your.First.Choice.for.value.added.Services,X27..What.would.be.the.second.choice.for.value.added.services,X28..What.would.be.the.Third.choice.for.value.added.services,X29..Is.There.Electricity.Supply.In.The.Shop.,X30..Do.You.Need.More.Hours.of.Electricity.In.This.Shop.,X31..Is.there.a.supply.of.electricity.for.this.shop.from.the.grid.utility..local.discos.NEPA.PHCN..connected.directly.to.this.shop..not.a.shared.connection.from.outside..,X32..How.frequent.do.you.pay.for.this.electricity,X33..How.Much.Do.you.Pay.for.grid.utility.service...local.disco.NEPA.PHCN.etc...during.the.payment.period.you.mentioned.before.,X34..Total.hours.of.power.interruption.from.the.grid.in.a.week.,X35..Is.there.a.supply.of.electricity.from.a..merger..generators.,X36..How.frequently.do.you.pay.for.this.electricity.supply..merger.,X37..How.Much.Do.You.Pay.For.electricity.from.the.merger.Generator..during.the.payment.period.you.mentioned.before.,X47..Total.amount.of.money.spent.on.fuel.for.all.generators..during.the.payment.period.you.mentioned.before.,X48..How.long.do.you.typically.run.the.generator.daily..in.hours..,X49..On.the.most.recent.workday..how.many.hours.of.generator.power.did.this.shop.use.,X51..What.price.do.you.typically.pay.for.fuel..Naira...liter..,X64..Which.appliance.is.the.most.important.for.your.business.to.function.properly,X65..Which.appliance.is.the.Second.most.important.for.your.business.to.function.properly,X66..Which.appliance.is.the.Third.most.important.for.your.business.to.function.properly,Latitude,Longitude
AkpaAndem--SEC(A)--LIN(3)--BL(3)--SNUM(2200)--SLEV(0),2022-04-05 11:50:00,Accept,"5.01xxxx, 7.92xxxx",Akpan Andem Market,Closed Shop,SECTION A,3,3,2200,32.0,GROUND FLOOR,LOCKED UP,Packing Shop,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,5.01,7.92
SBG--SEC(SECTION C)--LIN(LINE 1)--BL(C77)--SNUM(3814)--SLEV(0),2022-06-04 12:34:00,Accept,"11.1xxxx6, 7.72xxxx",Sabongari Zaria,Closed Shop,SECTION C,LINE 1,C77,3814,6.0,GROUND FLOOR,OCCUPIED,Locked up But Occupied,"Cosmetics, Salon and hairdressing",Owner,1 to 2,8:00 AM,6:00 PM,I Don't Know,Access Bank Plc,FIRST BANK NIGERIA LIMITED,False,OTHERS,TRUE,Savings Account,Savings Account,Education,True,True,False,Monthly,1000.0,25.0,True,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Charging Points,Charging Points,11.1,7.72
WUY--SEC(SECTION D)--LIN(15)--BL(1)--SNUM(56)--SLEV(0),2022-09-06 10:05:00,Accept,"9.05xxxx, 7.44xxxx",Wuye Market,Closed Shop,SECTION D,15,1,56,7.0,GROUND FLOOR,LOCKED UP,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,9.05,7.44
Margaret--SEC(A)--LIN(4)--BL(2)--SNUM(1945)--SLEV(0),2022-04-07 12:59:00,Accept,"6.31xxxx, 8.12xxxx",Margaret Umahi Market,Open Stall,SECTION A,4,2,1945,74.0,GROUND FLOOR,SHED,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,6.31,8.12
KTS--SEC(SECTION D)--LIN(LINE 2)--BL(BLOCK 19)--SNUM(6336)--SLEV(0),2022-05-25 10:26:17,Accept,"12.9xxxx6, 7.60xxxx",Katsina Central Market,Closed Shop,SECTION D,LINE 2,BLOCK 19,6336,42.0,GROUND FLOOR,LOCKED UP,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,12.9,7.6
MDA--SEC(SECTION C)--LIN(LINE 1)--BL(BLOCK AAJ)--SNUM(2329)--SLEV(0),2022-05-16 13:17:53,Accept,"10.3xxxx8, 9.84xxxx",Muda Lawal Market,Closed Shop,SECTION C,LINE 1,BLOCK AAJ,2329,23.0,GROUND FLOOR,OCCUPIED,Locked up But Occupied,Food provision and foods perishable items,Owner,1 to 2,7:00 AM,7:00 PM,TRUE,FIRST BANK NIGERIA LIMITED,Fidelity Bank Plc,False,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,10.3,9.84
BBK--SEC(D)--LIN(2)--BL(1)--SNUM(2361)-SLEV(GROUND FLOOR),2023-06-15 15:03:08,Accept,"8.48xxxx, 4.53xxxx",Baboko Market,Closed Shop,SECTION D,2,1,2361,21.0,GROUND FLOOR,LOCKED UP,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,8.48,4.53
MDA--SEC(SECTION E)--LIN(LINE 2)--BL(BLOCK AAAZ)--SNUM(4034)--SLEV(0),2022-05-16 11:56:02,Accept,"10.3xxxx8, 9.84xxxx",Muda Lawal Market,Closed Shop,SECTION E,LINE 2,BLOCK AAAZ,4034,8.0,GROUND FLOOR,MOSQUE,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,10.3,9.84
JMT--SEC(A)--LIN(2)--BL(39)-SNUM(774)--SLEV(0),2022-04-15 14:42:53,Accept,"9.27xxxx, 12.4xxxx2",Jimeta Central / Modern Market,Closed Shop,SECTION A,2,39,774,14.0,GROUND FLOOR,OCCUPIED,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,3 to 5,9:00 AM,5:00 PM,I Don't Know,Access Bank Plc,FIRST BANK NIGERIA LIMITED,False,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,9.27,12.4
Onitsha--SEC(A)--LIN(24)--BL(6)--SNUM(9310)--SLEV(GROUND FLOOR),2022-04-14 17:14:41,Accept,"6.14xxxx, 6.77xxxx",Onitsha Main Market,Open Stall,SECTION A,24,6,9310,235.0,GROUND FLOOR,OCCUPIED,Locked up But Occupied,"Cosmetics, Salon and hairdressing",Sales Boy/Girl,1 to 2,8:00 AM,5:00 PM,TRUE,Guaranty Trust Bank Plc,FIRST BANK NIGERIA LIMITED,False,None,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,6.14,6.77
Ngwa--SEC(B)--LIN(56)--BL(2)--SNUM(5314)--SLEV(0),2022-03-30 12:37:13,Accept,"5.10xxxx, 7.36xxxx",Ngwa Road Market,Closed Shop,SECTION B,56,2,5314,10.0,GROUND FLOOR,LOCKED UP,Packing Shop,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,5.1,7.36
BBK--SEC(D)--LIN(2)--BL(1)--SNUM(2519)-SLEV(GROUND FLOOR),2023-06-16 14:29:56,Accept,"8.48xxxx, 4.53xxxx",Baboko Market,Closed Shop,SECTION D,2,1,2519,21.0,GROUND FLOOR,UNOCCUPIED,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,8.48,4.53
Onitsha--SEC(B)--LIN(1)--BL(1)--SNUM(10472)--SLEV(GROUND FLOOR),2022-04-06 08:59:00,Accept,"6.14xxxx, 6.77xxxx",Onitsha Main Market,Open Stall,SECTION B,1,1,10472,3.0,GROUND FLOOR,OCCUPIED,Locked up But Occupied,Stationary/ Bookstore,Owner,1 to 2,8:00 AM,5:00 PM,TRUE,Fidelity Bank Plc,FIRST BANK NIGERIA LIMITED,True,Quickteller,FALSE,Healthcare,Education,Savings Account,True,True,False,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Printing Machine,6.14,6.77
FTU--SEC(SECTION D)--LIN(LINE 2)--BL(BLOCK AN)--SNUM(2451)--SLEV(0),2023-04-13 15:44:12,Accept,"11.5xxxx2, 7.33xxxx",Funtua Central Market,Closed Shop,SECTION D,LINE 2,BLOCK AN,2451,21.0,GROUND FLOOR,OCCUPIED,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,01-Feb,8:00 AM,9:00 PM,FALSE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,PAGA,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,11.5,7.33
KTS--SEC(SECTION B)--LIN(LINE 1)--BL(BLOCK 5)--SNUM(1764)--SLEV(0),2022-05-22 12:50:55,Accept,"12.9xxxx6, 7.60xxxx",Katsina Central Market,Open Stall,SECTION B,LINE 1,BLOCK 5,1764,20.0,GROUND FLOOR,OCCUPIED,Locked up But Occupied,Food provision and foods perishable items,Sales Boy/Girl,1 to 2,9:00 AM,6:00 PM,I Don't Know,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,TRUE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,12.9,7.6
Ngwa--SEC(C)--LIN(27)--BL(1)--SNUM(5925)--SLEV(0),2022-03-31 16:10:03,Accept,"5.10xxxx, 7.36xxxx",Ngwa Road Market,Closed Shop,SECTION C,27,1,5925,156.0,GROUND FLOOR,UNOCCUPIED,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,5.1,7.36
OGG--SEC(E)--LIN(5)--BL(6)--SNUM(2371)--SLEV(1),2022-06-02 15:28:00,Accept,"6.83xxxx, 7.41xxxx",Ogige Market,Closed Shop,SECTION E,5,6,2371,56.0,FIRST FLOOR,UNDER CONSTRUCTION,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,6.83,7.41
Ngwa--SEC(A)--LIN(28)--BL(1)--SNUM(542)--SLEV(0),2022-03-29 17:16:44,Accept,"5.10xxxx, 7.36xxxx",Ngwa Road Market,Closed Shop,SECTION A,28,1,542,94.0,GROUND FLOOR,OCCUPIED,Locked up But Occupied,Fabrication,Owner,1 to 2,7:00 AM,6:00 PM,I Don't Know,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,Quickteller,TRUE,Savings Account,Savings Account,Pension,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,5.1,7.36
Onitsha--SEC(A)--LIN(8)--BL(3)--SNUM(1618)--SLEV(GROUND FLOOR),2022-04-06 14:16:00,Accept,"6.14xxxx, 6.77xxxx",Onitsha Main Market,Open Stall,SECTION A,8,3,1618,156.0,GROUND FLOOR,OCCUPIED,Locked up But Occupied,Paper,Owner,3 to 5,9:00 AM,5:00 PM,I Don't Know,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,6.14,6.77
TSH--SEC(SECTION D)--LIN(LINE 6)--BL(BLOCK AH)--SNUM(1768)--SLEV(0),2022-04-14 14:56:33,Accept,"10.2xxxx3, 11.1xxxx2",Tshon Kasuwa,Closed Shop,SECTION D,LINE 6,BLOCK AH,1768,33.0,GROUND FLOOR,LOCKED UP,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,10.2,11.1
ABG--SEC(SECTION BD)--LIN(LINE 2)--BL(BLOCK BD72)--SNUM(BD3976)--SLEV(0),2022-06-01 15:01:00,Accept,"10.5xxxx3, 7.42xxxx",Abubakar Gumi Central Market,Closed Shop,SECTION BD,LINE 2,BLOCK BD72,BD3976,21.0,GROUND FLOOR,LOCKED UP,Packing Shop,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,10.5,7.42
Onuimo--SEC(A)--LIN(151)--BL(1)--SNUM(3005)--SLEV(0),2022-04-12 11:10:00,Accept,"5.55xxxx, 7.41xxxx",Industrial Market (Onuimo Industrial And General Goods Market),Open Stall,SECTION A,151,1,3005,77.0,GROUND FLOOR,LOCKED UP,Packing Shop,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,5.55,7.41
Ngwa--SEC(A)--LIN(83)--BL(2)--SNUM(1653)--SLEV(0),2022-03-29 10:50:40,Accept,"5.10xxxx, 7.36xxxx",Ngwa Road Market,Open Stall,SECTION A,83,2,1653,42.0,GROUND FLOOR,UNOCCUPIED,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,5.1,7.36
TSH--SEC(SECTION D)--LIN(LINE 11)--BL(BLOCK AM)--SNUM(2097)--SLEV(0),2022-04-15 12:45:25,Accept,"10.2xxxx3, 11.1xxxx2",Tshon Kasuwa,Closed Shop,SECTION D,LINE 11,BLOCK AM,2097,30.0,GROUND FLOOR,UNOCCUPIED,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,10.2,11.1
Onitsha--SEC(A)--LIN(11)--BL(3)--SNUM(3711)--SLEV(GROUND FLOOR),2022-04-01 10:48:00,Accept,"6.14xxxx, 6.77xxxx",Onitsha Main Market,Closed Shop,SECTION A,11,3,3711,48.0,GROUND FLOOR,SHED,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,6.14,6.77
MDA--SEC(SECTION B)--LIN(LINE 1)--BL(BLOCK AB)--SNUM(1019)--SLEV(0),2022-05-13 15:37:50,Accept,"10.3xxxx8, 9.84xxxx",Muda Lawal Market,Closed Shop,SECTION B,LINE 1,BLOCK AB,1019,11.0,GROUND FLOOR,OCCUPIED,Locked up But Occupied,"Leather shoes, hand bags and other leather products and clothing",Owner,1 to 2,7:00 AM,6:00 PM,TRUE,Sterling Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,True,True,True,Weekly,7000.0,18.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,10.3,9.84
Aria--SEC(A)--LIN(1)--BL(2)--SNUM(485)--SLEV(0),2022-04-01 00:53:00,Accept,"6.45xxxx, 7.48xxxx",Aria New Market,Closed Shop,SECTION A,1,2,485,60.0,GROUND FLOOR,LOCKED UP,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,6.45,7.48
ABG--SEC(SECTION BB)--LIN(LINE 1)--BL(BLOCK BB30)--SNUM(BB1750)--SLEV(0),2022-06-03 12:14:00,Accept,"10.5xxxx3, 7.42xxxx",Abubakar Gumi Central Market,Closed Shop,SECTION BB,LINE 1,BLOCK BB30,BB1750,2.0,GROUND FLOOR,OCCUPIED,Locked up But Occupied,Stationary/ Bookstore,Owner,1 to 2,8:00 AM,6:00 PM,FALSE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,10.5,7.42
AkpaAndem--SEC(A)--LIN(5)--BL(2)--SNUM(4658)--SLEV(0),2022-04-06 12:30:00,Accept,"5.01xxxx, 7.92xxxx",Akpan Andem Market,Open Stall,SECTION A,5,2,4658,45.0,GROUND FLOOR,SHED,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,5.01,7.92
Onitsha--SEC(A)--LIN(17)--BL(3)--SNUM(7605)--SLEV(NA),2022-06-04 11:03:00,Accept,"6.14xxxx, 6.77xxxx",Onitsha Main Market,Closed Shop,SECTION A,17,3,7605,141.0,GROUND FLOOR,OCCUPIED,Locked up But Occupied,Large format printing,Sales Boy/Girl,3 to 5,8:00 AM,5:00 PM,I Don't Know,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,"Quickteller , Remitta",FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,6.14,6.77
SBG--SEC(SECTION D)--LIN(LINE 2)--BL(K)--SNUM(5193)--SLEV(0),2022-06-07 13:09:00,Accept,"11.1xxxx6, 7.72xxxx",Sabongari Zaria,Open Stall,SECTION D,LINE 2,K,5193,8.0,GROUND FLOOR,OCCUPIED,Locked up But Occupied,Food provision and foods perishable items,Sales Boy/Girl,1 to 2,10:00 AM,6:00 PM,FALSE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,False,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,11.1,7.72
Aria--SEC(C)--LIN(1)--BL(2)--SNUM(3803)--SLEV(0),2022-04-12 15:17:00,Accept,"6.45xxxx, 7.48xxxx",Aria New Market,Open Stall,SECTION C,1,2,3803,11.0,GROUND FLOOR,LOCKED UP,Packing Shop,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,6.45,7.48
OBF--SEC(A)--LIN(1)--BL(1)--SNUM(59)--SLEV(0),2022-07-29 15:35:19,Accept,"7.48xxxx, 4.55xxxx",Obalufo Market,Closed Shop,SECTION A,1,1,59,90.0,GROUND FLOOR,OCCUPIED,Locked up But Occupied,Food provision and foods perishable items,Owner,1 to 2,7:00 AM,6:00 PM,FALSE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,False,None,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,7.48,4.55
Ngwa--SEC(C)--LIN(33)--BL(2)--SNUM(6053)--SLEV(0),2022-03-31 12:36:31,Accept,"5.10xxxx, 7.36xxxx",Ngwa Road Market,Closed Shop,SECTION C,33,2,6053,18.0,GROUND FLOOR,SHED,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,5.1,7.36
Orie--SNUM(880),2023-10-19 16:17:44,Accept,"5.07xxxx, 7.33xxxx",Orie Ohabiam Electronic Market,Closed Shop,SECTION A,LINE 1,1,880,21.0,GROUND FLOOR,UNOCCUPIED,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,5.07,7.33
KTK--SEC(SECTION C)--LIN(LINE 4)--BL(5)--SNUM(1670)--SLEV(0),2022-03-17 11:54:09,Accept,"9.94xxxx, 8.87xxxx",Katako,Closed Shop,SECTION C,LINE 4,5,1670,5.0,GROUND FLOOR,OCCUPIED,Locked up But Occupied,"Building materials & Paint, Pumping materials and furniture",Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,False,OTHERS,TRUE,"Insurance (Health, Auto, Building or Contents)",Education,Savings Account,True,False,False,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Charging Points,Fan,Charging Points,9.94,8.87
Ochanja--SEC(A)--LIN(8)--BL(2)--SNUM(1189)--SLEV(0),2022-07-01 16:43:00,Accept,"6.13xxxx, 6.78xxxx",Ochanja,Open Stall,SECTION A,8,2,1189,106.0,GROUND FLOOR,OCCUPIED,Locked up But Occupied,"Leather shoes, hand bags and other leather products and clothing",Owner,1 to 2,8:00 AM,5:00 PM,I Don't Know,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,Quickteller,TRUE,Savings Account,Healthcare,Microloans,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,6.13,6.78
KTO--SEC(SECTION C)--BL(BLOCK F)--LIN(LINE 6)--SNUM(835)--SLEV(0),2023-06-08 10:58:00,Accept,"7.13xxxx, 3.35xxxx","Kuto Market, Abeokuta.",Closed Shop,SECTION C,LINE 6,BLOCK F,835,21.0,GROUND FLOOR,LOCKED UP,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,7.13,3.35
OKJ--SEC(SECTION D)--LIN(LINE 1)--BL(26)--SNUM(1997)--SLEV(0),2022-05-19 11:48:10,Accept,"6.81xxxx, 3.93xxxx",Oke-Aje Market,Closed Shop,SECTION D,LINE 1,26,1997,5.0,GROUND FLOOR,LOCKED UP,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,6.81,3.93
